,index,0_x,1,2,3,4,5,6,7,8,latitude,longitude,0_y,0,traveltime_totube,traveltime_totube_pub
71,9020,87142,Hendon Golf Club,"""Hendon Golf Club,  Ashley Walk, London""",NW7 1DG,523348,191298.0,51.607016,-0.220184,Barnet,51.607015999999994,-0.22018400000000002,165,0.6953578376019163,8.278069495260908,8.278069495260908
72,9021,87149,Hendon Rifle Club,"""Hendon Rifle Club,  Cool Oak Lane, London""",NW9 7NB,521356,187461.0,51.572956,-0.250275,Barnet,51.572956,-0.250275,119,2.015501863472654,23.99406980324588,23.99406980324588
73,9022,87150,Hendon Rugby Football Club,"""Hendon Rugby Football Club,  Greenlands Lane, London""",NW4 1RL,522925,190937.0,51.603873,-0.226415,Barnet,51.603873,-0.226415,165,1.212825114237814,14.438394217116832,14.438394217116832
74,9023,87152,Hendon Sea Training Corps,"""Hendon Sea Cadet Hall,  Cool Oak Lane, London""",NW9 7ND,521646,187598.0,51.574134,-0.24603,Barnet,51.574134,-0.24603000000000003,119,1.6990637256930263,20.226949115393168,20.226949115393168
75,9024,87160,Hind & Hart,"""Hind And Hart,  The Concourse, London""",NW9 5XA,521641,190756.0,51.602516,-0.245009,Barnet,51.602515999999994,-0.245009,58,0.8588594444786627,10.224517196174554,10.224517196174554
76,9025,87175,Hollywood Bowl Group,"""Great North Leisure Park,  Chaplin Square, London""",N12 0GL,526582,191132.0,51.604808,-0.173568,Barnet,51.604808,-0.173568,287,1.143693090277832,13.61539393187895,13.61539393187895
77,9026,87216,Intimate Island Inn,"""85 Ballards Lane, London""",N3 1XT,525415,190997.0,51.603864,-0.190458,Barnet,51.603864,-0.190458,93,0.3516942254375332,4.186836017113491,4.186836017113491
78,9027,87257,Joiners Arms,"""Joiners Arms, 51 Ballards Lane, London""",N3 1XP,525356,190939.0,51.603347,-0.191331,Barnet,51.603347,-0.191331,93,0.27148332256741187,3.2319443162787125,3.2319443162787125
79,9028,87277,Kelly's,"""407 Hendon Way, London""",NW4 3LH,522919,188511.0,51.582063,-0.227351,Barnet,51.582063,-0.22735100000000003,119,0.13684032769192317,1.6290515201419424,1.6290515201419424
80,9029,87306,Kings Head,"""The Kings Head, 84 High Street, Barnet""",EN5 5SN,524557,196497.0,51.653473,-0.200887,Barnet,51.653473,-0.20088699999999998,121,0.5755008218937478,6.851200260639855,6.851200260639855
